mutID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	clusterID
mut23	0.529404	0.00777085	0.021816	0.0393394	0.0120293	0.0261892	0.0241741	0.00962876	0.0289342	0.0279596	4
mut24	0.529404	0.00777085	0.021816	0.0393394	0.0120293	0.0261892	0.0241741	0.00962876	0.0289342	0.0279596	4
mut25	0.253849	0.714224	0.0482058	0.0722901	0.0221679	0.0574212	0.0628303	0.020531	0.0645763	0.163007	5
mut26	0.253849	0.714224	0.0482058	0.0722901	0.0221679	0.0574212	0.0628303	0.020531	0.0645763	0.163007	5
mut27	0.253849	0.714224	0.0482058	0.0722901	0.0221679	0.0574212	0.0628303	0.020531	0.0645763	0.163007	5
mut28	0.253849	0.714224	0.0482058	0.0722901	0.0221679	0.0574212	0.0628303	0.020531	0.0645763	0.163007	5
mut29	0.253849	0.714224	0.0482058	0.0722901	0.0221679	0.0574212	0.0628303	0.020531	0.0645763	0.163007	5
mut30	0.105261	0.0786237	0.747986	0.654467	0.79956	0.730567	0.809199	0.913315	0.698735	0.495267	6
mut31	0.105261	0.0786237	0.747986	0.654467	0.79956	0.730567	0.809199	0.913315	0.698735	0.495267	6
mut32	0.105261	0.0786237	0.747986	0.654467	0.79956	0.730567	0.809199	0.913315	0.698735	0.495267	6
mut33	0.105261	0.0786237	0.747986	0.654467	0.79956	0.730567	0.809199	0.913315	0.698735	0.495267	6
mut34	0.105261	0.0786237	0.747986	0.654467	0.79956	0.730567	0.809199	0.913315	0.698735	0.495267	6
mut35	0.0214761	0.632743	0.023278	0.0326109	0.0111313	0.0270563	0.0277163	0.00918652	0.0297122	0.136342	7
mut36	0.0214761	0.632743	0.023278	0.0326109	0.0111313	0.0270563	0.0277163	0.00918652	0.0297122	0.136342	7
mut37	0.0214761	0.632743	0.023278	0.0326109	0.0111313	0.0270563	0.0277163	0.00918652	0.0297122	0.136342	7
mut38	0.0214761	0.632743	0.023278	0.0326109	0.0111313	0.0270563	0.0277163	0.00918652	0.0297122	0.136342	7
mut39	0.0214761	0.632743	0.023278	0.0326109	0.0111313	0.0270563	0.0277163	0.00918652	0.0297122	0.136342	7
mut40	0.0696864	0.0432931	0.633818	0.498894	0.0809353	0.604346	0.154229	0.0782869	0.164958	0.148943	8
mut41	0.0696864	0.0432931	0.633818	0.498894	0.0809353	0.604346	0.154229	0.0782869	0.164958	0.148943	8
mut42	0.0696864	0.0432931	0.633818	0.498894	0.0809353	0.604346	0.154229	0.0782869	0.164958	0.148943	8
mut43	0.0696864	0.0432931	0.633818	0.498894	0.0809353	0.604346	0.154229	0.0782869	0.164958	0.148943	8
mut44	0.0696864	0.0432931	0.633818	0.498894	0.0809353	0.604346	0.154229	0.0782869	0.164958	0.148943	8
mut45	0.0619668	0.0334366	0.180045	0.375014	0.068722	0.571016	0.119667	0.0435941	0.121504	0.100823	9
mut46	0.0619668	0.0334366	0.180045	0.375014	0.068722	0.571016	0.119667	0.0435941	0.121504	0.100823	9
mut47	0.0619668	0.0334366	0.180045	0.375014	0.068722	0.571016	0.119667	0.0435941	0.121504	0.100823	9
mut48	0.0619668	0.0334366	0.180045	0.375014	0.068722	0.571016	0.119667	0.0435941	0.121504	0.100823	9
mut49	0.0619668	0.0334366	0.180045	0.375014	0.068722	0.571016	0.119667	0.0435941	0.121504	0.100823	9
mut50	0.00625139	0.00921148	0.419716	0.0848824	0.0113166	0.0462564	0.0302119	0.0245822	0.0307587	0.0244678	10
mut51	0.00625139	0.00921148	0.419716	0.0848824	0.0113166	0.0462564	0.0302119	0.0245822	0.0307587	0.0244678	10
mut52	0.00625139	0.00921148	0.419716	0.0848824	0.0113166	0.0462564	0.0302119	0.0245822	0.0307587	0.0244678	10
mut53	0.00625139	0.00921148	0.419716	0.0848824	0.0113166	0.0462564	0.0302119	0.0245822	0.0307587	0.0244678	10
mut54	0.00625139	0.00921148	0.419716	0.0848824	0.0113166	0.0462564	0.0302119	0.0245822	0.0307587	0.0244678	10
mut55	0.0208673	0.020382	0.0829142	0.127387	0.0465914	0.100733	0.119847	0.831805	0.104687	0.087157	11
mut56	0.0208673	0.020382	0.0829142	0.127387	0.0465914	0.100733	0.119847	0.831805	0.104687	0.087157	11
mut57	0.0208673	0.020382	0.0829142	0.127387	0.0465914	0.100733	0.119847	0.831805	0.104687	0.087157	11
mut58	0.0208673	0.020382	0.0829142	0.127387	0.0465914	0.100733	0.119847	0.831805	0.104687	0.087157	11
mut59	0.0208673	0.020382	0.0829142	0.127387	0.0465914	0.100733	0.119847	0.831805	0.104687	0.087157	11
mut60	0.0140682	0.015314	0.0638283	0.0902873	0.0215198	0.0647809	0.0655591	0.781566	0.0513364	0.050791	12
mut61	0.0140682	0.015314	0.0638283	0.0902873	0.0215198	0.0647809	0.0655591	0.781566	0.0513364	0.050791	12
mut62	0.0140682	0.015314	0.0638283	0.0902873	0.0215198	0.0647809	0.0655591	0.781566	0.0513364	0.050791	12
mut63	0.0140682	0.015314	0.0638283	0.0902873	0.0215198	0.0647809	0.0655591	0.781566	0.0513364	0.050791	12
mut64	0.0140682	0.015314	0.0638283	0.0902873	0.0215198	0.0647809	0.0655591	0.781566	0.0513364	0.050791	12
mut65	0.0424195	0.0153941	0.0546131	0.0721004	0.0447042	0.207516	0.0614578	0.0206869	0.0566717	0.052476	13
mut66	0.0424195	0.0153941	0.0546131	0.0721004	0.0447042	0.207516	0.0614578	0.0206869	0.0566717	0.052476	13
mut67	0.0424195	0.0153941	0.0546131	0.0721004	0.0447042	0.207516	0.0614578	0.0206869	0.0566717	0.052476	13
mut68	0.0424195	0.0153941	0.0546131	0.0721004	0.0447042	0.207516	0.0614578	0.0206869	0.0566717	0.052476	13
mut69	0.0424195	0.0153941	0.0546131	0.0721004	0.0447042	0.207516	0.0614578	0.0206869	0.0566717	0.052476	13
mut70	0.00667048	0.0075283	0.0734044	0.305265	0.0111902	0.226629	0.0297047	0.00970824	0.0294341	0.0294056	14
mut71	0.00667048	0.0075283	0.0734044	0.305265	0.0111902	0.226629	0.0297047	0.00970824	0.0294341	0.0294056	14
mut72	0.00667048	0.0075283	0.0734044	0.305265	0.0111902	0.226629	0.0297047	0.00970824	0.0294341	0.0294056	14
mut73	0.00667048	0.0075283	0.0734044	0.305265	0.0111902	0.226629	0.0297047	0.00970824	0.0294341	0.0294056	14
mut74	0.00667048	0.0075283	0.0734044	0.305265	0.0111902	0.226629	0.0297047	0.00970824	0.0294341	0.0294056	14
mut75	0.00601674	0.00689818	0.0240125	0.0318035	0.730887	0.027503	0.469702	0.0137034	0.344278	0.192178	15
mut76	0.00601674	0.00689818	0.0240125	0.0318035	0.730887	0.027503	0.469702	0.0137034	0.344278	0.192178	15
mut77	0.00601674	0.00689818	0.0240125	0.0318035	0.730887	0.027503	0.469702	0.0137034	0.344278	0.192178	15
mut78	0.00601674	0.00689818	0.0240125	0.0318035	0.730887	0.027503	0.469702	0.0137034	0.344278	0.192178	15
mut79	0.00601674	0.00689818	0.0240125	0.0318035	0.730887	0.027503	0.469702	0.0137034	0.344278	0.192178	15
mut80	0.0395948	0.00740469	0.0234908	0.0356672	0.0285669	0.103585	0.0287418	0.0103458	0.0287745	0.0287786	16
mut81	0.0395948	0.00740469	0.0234908	0.0356672	0.0285669	0.103585	0.0287418	0.0103458	0.0287745	0.0287786	16
mut82	0.0395948	0.00740469	0.0234908	0.0356672	0.0285669	0.103585	0.0287418	0.0103458	0.0287745	0.0287786	16
mut83	0.0395948	0.00740469	0.0234908	0.0356672	0.0285669	0.103585	0.0287418	0.0103458	0.0287745	0.0287786	16
mut84	0.0395948	0.00740469	0.0234908	0.0356672	0.0285669	0.103585	0.0287418	0.0103458	0.0287745	0.0287786	16
mut85	0.0068705	0.103421	0.0228485	0.0306668	0.0339007	0.0283877	0.0382261	0.0107699	0.0960768	0.254827	17
mut86	0.0068705	0.103421	0.0228485	0.0306668	0.0339007	0.0283877	0.0382261	0.0107699	0.0960768	0.254827	17
mut87	0.0068705	0.103421	0.0228485	0.0306668	0.0339007	0.0283877	0.0382261	0.0107699	0.0960768	0.254827	17
mut88	0.0068705	0.103421	0.0228485	0.0306668	0.0339007	0.0283877	0.0382261	0.0107699	0.0960768	0.254827	17
mut89	0.0068705	0.103421	0.0228485	0.0306668	0.0339007	0.0283877	0.0382261	0.0107699	0.0960768	0.254827	17
mut90	0.00717128	0.00750993	0.0251216	0.0527309	0.0102287	0.0300678	0.0264421	0.343906	0.0285412	0.0229785	18
mut91	0.00717128	0.00750993	0.0251216	0.0527309	0.0102287	0.0300678	0.0264421	0.343906	0.0285412	0.0229785	18
mut92	0.00717128	0.00750993	0.0251216	0.0527309	0.0102287	0.0300678	0.0264421	0.343906	0.0285412	0.0229785	18
mut93	0.00717128	0.00750993	0.0251216	0.0527309	0.0102287	0.0300678	0.0264421	0.343906	0.0285412	0.0229785	18
mut94	0.00717128	0.00750993	0.0251216	0.0527309	0.0102287	0.0300678	0.0264421	0.343906	0.0285412	0.0229785	18
